VVc	yl	ld50	Fd50	dsl	Source
0.95	0.3333333333	22.22222222	2.096441343	0.6	Coleman2003
0.95	0.6666666667	22.22222222	2.502894256	0.95	Coleman2003
0.95	1	22.22222222	2.716816842	1.2	Coleman2003
0.95	1.333333333	22.22222222	2.887954911	1.37	Coleman2003
0.95	1.666666667	22.22222222	3.016308463	1.5	Coleman2003
0.95	0.6666666667	8.333333333	1.945255136	1	Coleman2003
0.95	1.333333333	8.333333333	2.334306164	0.8	Coleman2003
0.95	2	8.333333333	2.556621036	0.98	Coleman2003
0.95	2.666666667	8.333333333	2.723357191	1.12	Coleman2003
0.95	3.333333333	8.333333333	2.853040867	1.213333333	Coleman2003
0.9	0.6097560976	192.9411765	2.64286972	0.9695121951	Coleman2003
0.93	0.3048780488	192.9411765	2.472361996	0.5182926829	Coleman2003
0.93	0.1592356688	369.4117647	2.472361996	0.5477707006	Coleman2003
0.93	0.09689922481	607.0588235	2.472361996	0.3914728682	Coleman2003
0.93	0.1369863014	429.4117647	2.472361996	0.4904109589	Coleman2003
0.96	0.2242152466	262.3529412	2.557615858	0.730941704	Coleman2003
0.99	0.1369863014	429.4117647	2.557615858	0.4657534247	Coleman2003
0.95	0.06973500697	843.5294118	2.301854272	0.3430962343	Coleman2003
0.9	0.6060606061	201.2195122	2.690780625	1.060606061	Coleman2003
0.87	0.1655629139	368.2926829	2.343583125	0.4834437086	Coleman2003
0.9	0.3311258278	368.2926829	2.690780625	0.7119205298	Coleman2003
0.63	1.666666667	222.2222222	2.401500782	0.7833333333	Pandey2016
0.75	1.666666667	222.2222222	2.858929502	1.05	Pandey2016
0.84	1.666666667	222.2222222	3.202001042	1.35	Pandey2016
0.63	1.176470588	314.8148148	2.401500782	0.6352941176	Pandey2016
0.75	1.176470588	314.8148148	2.858929502	0.7882352941	Pandey2016
0.84	1.176470588	314.8148148	3.202001042	1.094117647	Pandey2016
0.63	1	370.3703704	2.401500782	0.59	Pandey2016
0.75	1	370.3703704	2.858929502	0.71	Pandey2016
0.84	1	370.3703704	3.202001042	0.99	Pandey2016
0.63	0.8333333333	444.4444444	2.401500782	0.525	Pandey2016
0.75	0.8333333333	444.4444444	2.858929502	0.675	Pandey2016
0.84	0.8333333333	444.4444444	3.202001042	0.8916666667	Pandey2016
0.63	0.5	740.7407407	2.401500782	0.385	Pandey2016
0.75	0.5	740.7407407	2.858929502	0.46	Pandey2016
0.84	0.5	740.7407407	3.202001042	0.69	Pandey2016
0.6581843959	3	53.19148936	1.945677421	0.72	Lim1997
0.6691541358	2	79.78723404	1.978105378	1.013333333	Lim1997
0.6655325294	1	106.3829787	1.718681722	0.57	Lim1997
0.6664117008	1.5	106.3829787	1.969998389	1.01	Lim1997
0.7314822808	1	132.9787234	2.034854303	0.928	Lim1997
0.7020633556	1.2	132.9787234	2.075389249	0.904	Lim1997
0.4963807319	1	159.5744681	1.467365055	0.3666666667	Lim1997
0.6526995259	1	159.5744681	1.929463443	0.7333333333	Lim1997
0.6609268309	1	159.5744681	1.95378441	1.066666667	Lim1997
0.8556397147	1	159.5744681	2.529380648	1.533333333	Lim1997
0.8912913694	1	159.5744681	2.634771508	1.666666667	Lim1997
0.723919982	4	166.6666667	3.44663743	2.026666667	Lim1997
0.7507874701	3.333333333	166.6666667	3.363785569	2.026666667	Lim1997
0.8080843477	2.333333333	166.6666667	3.214652219	1.946666667	Lim1997
0.9085445395	1.333333333	166.6666667	2.999237379	1.6	Lim1997
0.7935175637	2.6	166.6666667	3.272648522	2	Lim1997
0.8690467628	1.666666667	166.6666667	3.090374427	1.8	Lim1997
0.9850965169	0.8666666667	166.6666667	2.816963284	1.586666667	Lim1997
0.8219662183	2.2	166.6666667	3.206367032	1.98	Lim1997
0.7454139497	3.533333333	166.6666667	3.4052115	2.026666667	Lim1997
0.4822709683	1.010498688	108.8571429	1.357150069	0.5577427822	Lim1997
0.6248091942	0.8202099738	108.8571429	1.640138776	0.8398950131	Lim1997
0.6625377329	0.7677165354	108.8571429	1.701253708	0.8333333333	Lim1997
0.852874334	0.7020997375	108.8571429	2.125736769	1.200787402	Lim1997
0.6273904797	0.8727034121	108.8571429	1.681324926	1.076115486	Lim1997
0.5362907928	0.7677165354	108.8571429	1.377078851	0.4133858268	Lim1997
0.7160571555	0.2668416448	714.375	2.246000059	0.6124234471	Lim1997
0.7160571555	0.4002624672	476.25	2.246000059	0.7709973753	Lim1997
0.5444055873	0.498687664	544.2857143	1.921070116	0.6594488189	Lim1997
1.053603477	0.4593175853	544.2857143	3.617367676	1.351706037	Lim1997
